BIB_ID	VENDOR_CODE	bibtype	date	form	place	language	govdoc	publisher	fund	poofid
10377634	AUX/E	am	2017	\	fr\	fre	\	Amis de Van éditions	8110	14894
10377638	AUX/E	am	2017	\	fr\	fre	\	Éditions peuple libre	8110	14891
10377640	AUX/E	am	2017	b	fr\	fre	\	L'Harmattan	8110	14885
10377641	AUX/E	am	2017	b	fr\	fre	\	L'Harmattan	8110	14883
10377651	AUX/E	am	2017	b	fr\	fre	\	Presses universitaires de Provence	8110	14878
10362920	AUX/E	am	2018	\	fr\	fre	\	Les éditions de Paris, Max Chaleil	p2256	14730
10362923	AUX/E	am	2017	\	fr\	fre	\	Éditions Le Manuscrit	p2256	14728
10362924	AUX/E	am	2018	b	fr\	fre	\	Canopé éditions	p2256	14727
10362925	AUX/E	am	2017	b	fr\	fre	\	Éditions Le Manuscrit :$bFondation pour la mémoire de la Shoah	p2256	14726
10362928	AUX/E	am	2018	\	fr\	fre	\	Presses de la Renaissance	p2850	14716
10362932	AUX/E	am	2017	b	fr\	fre	\	Lichma	p2256	14715
10362934	AUX/E	am	2018	b	fr\	fre	\	Libertalia	p2256	14714
10362939	AUX/E	am	2018	b	fr\	fre	\	Liana Levi	p2256	14712
10362940	AUX/E	am	2018	b	fr\	fre	\	Éditions François Bourin	p2256	14711
10362941	AUX/E	am	2015	\	fr\	fre	\	Bord de l'eau	p2256	14710
10362943	AUX/E	am	2018	b	fr\	fre	\	Le Bord de l'eau	p2256	14709
10362945	AUX/E	am	2017	\	fr\	fre	\	Éditions Le Petit Cercle	p2256	14708
10362947	AUX/E	am	2018	b	fr\	fre	\	L'Archipel	p2256	14707
10362949	AUX/E	am	2017	b	fr\	fre	\	L'Harmattan	p2256	14706
10362952	AUX/E	am	2017	b	fr\	fre	\	L'Harmattan	8110	14696
10362936	AUX/E	am	2008	b	fr\	fre	\	Éditions du Cerf	p2256	14713
10385682	AUX/E	am	2012	b	fr\	fre	\	Michalon Éditions	p2156	15248
10382914	AUX/E	am	2018	b	fr\	fre	\	L'Harmattan	p2257	15091
10382916	AUX/E	am	2018	b	fr\	fre	\	L'Harmattan	p2257	15090
10382917	AUX/E	am	2018	6	fr\	fre	\	Éditions Denoël	p2257	15088
10382921	AUX/E	am	2018	b	fr\	fre	\	Lichma	p2257	15086
10382924	AUX/E	am	2018	b	fr\	fre	\	Perrin	p2257	15085
10382929	AUX/E	am	2017	b	fr\	fre	\	Porte-plume	p2257	15084
10380033	AUX/E	am	2018	\	fr\	fre	\	La Martinière	8110	15015
