BIB_ID	VENDOR_CODE	bibtype	date	form	place	language	govdoc	publisher
10377634	AUX/E	am	2017	\	fr\	fre	\	Amis de Van éditions
10377638	AUX/E	am	2017	\	fr\	fre	\	Éditions peuple libre
10377640	AUX/E	am	2017	b	fr\	fre	\	L'Harmattan
10377641	AUX/E	am	2017	b	fr\	fre	\	L'Harmattan
10377651	AUX/E	am	2017	b	fr\	fre	\	Presses universitaires de Provence
10362920	AUX/E	am	2018	\	fr\	fre	\	Les éditions de Paris, Max Chaleil
10362923	AUX/E	am	2017	\	fr\	fre	\	Éditions Le Manuscrit
10362924	AUX/E	am	2018	b	fr\	fre	\	Canopé éditions
10362925	AUX/E	am	2017	b	fr\	fre	\	Éditions Le Manuscrit :$bFondation pour la mémoire de la Shoah
10362928	AUX/E	am	2018	\	fr\	fre	\	Presses de la Renaissance
10362932	AUX/E	am	2017	b	fr\	fre	\	Lichma
10362934	AUX/E	am	2018	b	fr\	fre	\	Libertalia
10362939	AUX/E	am	2018	b	fr\	fre	\	Liana Levi
10362940	AUX/E	am	2018	b	fr\	fre	\	Éditions François Bourin
10362941	AUX/E	am	2015	\	fr\	fre	\	Bord de l'eau
10362943	AUX/E	am	2018	b	fr\	fre	\	Le Bord de l'eau
10362945	AUX/E	am	2017	\	fr\	fre	\	Éditions Le Petit Cercle
10362947	AUX/E	am	2018	b	fr\	fre	\	L'Archipel
10362949	AUX/E	am	2017	b	fr\	fre	\	L'Harmattan
10362952	AUX/E	am	2017	b	fr\	fre	\	L'Harmattan
10362936	AUX/E	am	2008	b	fr\	fre	\	Éditions du Cerf
10385682	AUX/E	am	2012	b	fr\	fre	\	Michalon Éditions
10382914	AUX/E	am	2018	b	fr\	fre	\	L'Harmattan
10382916	AUX/E	am	2018	b	fr\	fre	\	L'Harmattan
10382917	AUX/E	am	2018	6	fr\	fre	\	Éditions Denoël
10382921	AUX/E	am	2018	b	fr\	fre	\	Lichma
10382924	AUX/E	am	2018	b	fr\	fre	\	Perrin
10382929	AUX/E	am	2017	b	fr\	fre	\	Porte-plume
10380033	AUX/E	am	2018	\	fr\	fre	\	La Martinière
10377995	AUX/E	am	2017	b	fr\	fre	\	Presses universitaires de Provence
10377997	AUX/E	am	2017	b	fr\	fre	\	Epure. Editions et presses universita
